Transaction ID,Date,Customer ID,Gender,Age,Product Category,Quantity,Price per Unit,Total Amount
1,1/1/2023,CUST180,Male,41,Clothing,3,300,900
2,1/1/2023,CUST522,Male,46,Beauty,3,500,1500
3,1/1/2023,CUST559,Female,40,Clothing,4,300,1200
4,2/1/2023,CUST163,Female,64,Clothing,3,50,150
5,2/1/2023,CUST303,Male,19,Electronics,3,30,90
6,2/1/2023,CUST421,Female,37,Clothing,3,500,1500
7,2/1/2023,CUST979,Female,19,Beauty,1,25,25
8,3/1/2023,CUST610,Female,26,Beauty,2,300,600
9,4/1/2023,CUST032,Male,30,Beauty,3,30,90
10,4/1/2023,CUST231,Female,23,Clothing,3,50,150
11,4/1/2023,CUST683,Male,38,Beauty,2,500,1000
12,5/1/2023,CUST367,Female,57,Electronics,1,50,50
13,5/1/2023,CUST391,Male,19,Beauty,2,25,50
14,5/1/2023,CUST432,Female,60,Electronics,2,500,1000
15,6/1/2023,CUST150,Female,58,Electronics,4,30,120
16,6/1/2023,CUST845,Male,54,Clothing,1,500,500
17,7/1/2023,CUST797,Male,40,Clothing,3,25,75
18,7/1/2023,CUST921,Male,51,Electronics,3,25,75
19,8/1/2023,CUST291,Male,60,Clothing,2,300,600
20,8/1/2023,CUST907,Female,45,Electronics,1,25,25
21,9/1/2023,CUST860,Male,63,Clothing,4,50,200
22,10/1/2023,CUST184,Male,31,Electronics,4,50,200
23,10/1/2023,CUST734,Female,27,Clothing,1,30,30
24,11/1/2023,CUST225,Female,57,Beauty,4,25,100
25,11/1/2023,CUST679,Female,18,Beauty,3,30,90
26,11/1/2023,CUST746,Female,33,Clothing,3,30,90
27,13/01/2023,CUST003,Male,50,Electronics,1,30,30
28,13/01/2023,CUST464,Male,38,Electronics,2,300,600
29,13/01/2023,CUST484,Female,19,Clothing,4,300,1200
30,13/01/2023,CUST591,Male,53,Electronics,4,25,100
31,14/01/2023,CUST021,Female,50,Beauty,1,500,500
32,14/01/2023,CUST708,Female,43,Beauty,3,300,900
33,14/01/2023,CUST713,Male,34,Beauty,3,25,75
34,14/01/2023,CUST768,Female,24,Beauty,3,25,75
35,15/01/2023,CUST499,Male,46,Beauty,2,30,60
36,15/01/2023,CUST697,Male,53,Clothing,1,500,500
37,15/01/2023,CUST831,Male,27,Electronics,4,25,100
38,16/01/2023,CUST015,Female,42,Electronics,4,500,2000
39,16/01/2023,CUST743,Female,34,Beauty,4,500,2000
40,17/01/2023,CUST014,Male,64,Clothing,4,30,120
41,17/01/2023,CUST103,Female,59,Clothing,1,25,25
42,17/01/2023,CUST238,Female,39,Beauty,1,500,500
43,17/01/2023,CUST986,Female,49,Clothing,2,500,1000
44,19/01/2023,CUST438,Female,42,Clothing,1,30,30
45,20/01/2023,CUST475,Male,26,Clothing,3,25,75
46,20/01/2023,CUST505,Male,24,Beauty,1,50,50
47,21/01/2023,CUST344,Female,42,Beauty,1,30,30
48,21/01/2023,CUST448,Female,54,Beauty,2,30,60
49,21/01/2023,CUST742,Female,38,Electronics,4,500,2000
50,22/01/2023,CUST445,Female,53,Electronics,1,300,300
51,22/01/2023,CUST787,Male,41,Electronics,1,25,25
52,23/01/2023,CUST049,Female,54,Electronics,2,500,1000
53,23/01/2023,CUST420,Female,22,Clothing,4,500,2000
54,23/01/2023,CUST519,Female,36,Electronics,4,30,120
55,24/01/2023,CUST064,Male,49,Clothing,4,25,100
56,24/01/2023,CUST592,Female,46,Beauty,4,500,2000
57,24/01/2023,CUST912,Male,51,Beauty,3,50,150
58,25/01/2023,CUST134,Male,49,Electronics,1,50,50
59,26/01/2023,CUST288,Male,28,Clothing,4,30,120
60,26/01/2023,CUST323,Female,29,Beauty,3,300,900
61,26/01/2023,CUST618,Female,27,Beauty,1,50,50
62,26/01/2023,CUST720,Female,56,Beauty,5,500,2500
63,27/01/2023,CUST415,Male,53,Clothing,2,30,60
64,27/01/2023,CUST736,Male,29,Clothing,4,25,100
65,27/01/2023,CUST929,Female,23,Beauty,3,25,75
66,28/01/2023,CUST264,Male,47,Clothing,3,300,900
67,28/01/2023,CUST913,Male,29,Electronics,3,30,90
68,28/01/2023,CUST940,Female,20,Electronics,1,30,30
69,29/01/2023,CUST101,Male,32,Clothing,2,300,600
70,30/01/2023,CUST189,Male,63,Beauty,1,50,50
71,30/01/2023,CUST317,Male,22,Electronics,3,30,90
72,30/01/2023,CUST322,Male,51,Electronics,1,500,500
73,30/01/2023,CUST329,Female,46,Electronics,4,25,100
74,31/01/2023,CUST235,Female,23,Electronics,2,500,1000
75,31/01/2023,CUST300,Female,19,Electronics,4,50,200
76,31/01/2023,CUST964,Male,24,Clothing,3,300,900
77,1/2/2023,CUST269,Male,25,Clothing,4,500,2000
78,1/2/2023,CUST320,Female,28,Electronics,4,300,1200
79,1/2/2023,CUST673,Female,43,Clothing,3,500,1500
80,2/2/2023,CUST142,Male,35,Electronics,4,300,1200
81,2/2/2023,CUST223,Female,64,Clothing,1,25,25
82,2/2/2023,CUST666,Male,51,Electronics,3,50,150
83,3/2/2023,CUST107,Female,21,Clothing,4,300,1200
84,3/2/2023,CUST933,Male,22,Beauty,1,30,30
85,4/2/2023,CUST237,Female,50,Beauty,2,500,1000
86,4/2/2023,CUST335,Female,47,Beauty,4,30,120
87,5/2/2023,CUST063,Male,57,Electronics,2,25,50
88,5/2/2023,CUST195,Male,52,Clothing,1,30,30
89,5/2/2023,CUST333,Female,54,Electronics,4,300,1200
90,5/2/2023,CUST379,Female,47,Clothing,1,25,25
91,5/2/2023,CUST490,Male,34,Clothing,3,50,150
92,5/2/2023,CUST530,Female,18,Electronics,4,30,120
93,5/2/2023,CUST740,Female,25,Beauty,4,50,200
94,5/2/2023,CUST793,Male,54,Beauty,1,30,30
95,6/2/2023,CUST085,Male,31,Clothing,3,50,150
96,6/2/2023,CUST232,Female,43,Beauty,1,25,25
97,6/2/2023,CUST240,Female,23,Beauty,1,300,300
98,6/2/2023,CUST993,Female,48,Electronics,3,50,150
99,7/2/2023,CUST366,Male,57,Clothing,2,50,100
100,7/2/2023,CUST372,Female,24,Beauty,3,500,1500
101,7/2/2023,CUST596,Female,64,Electronics,1,300,300
102,7/2/2023,CUST936,Male,57,Beauty,4,50,200
103,8/2/2023,CUST284,Male,43,Clothing,4,50,200
104,8/2/2023,CUST434,Female,43,Electronics,2,25,50
105,8/2/2023,CUST775,Female,46,Electronics,4,25,100
106,8/2/2023,CUST977,Female,35,Electronics,3,25,75
107,9/2/2023,CUST649,Female,58,Clothing,2,300,600
108,10/2/2023,CUST054,Female,38,Electronics,3,500,1500
109,10/2/2023,CUST068,Male,25,Electronics,1,300,300
110,10/2/2023,CUST192,Male,62,Beauty,2,50,100
111,11/2/2023,CUST331,Male,28,Electronics,3,30,90
112,11/2/2023,CUST346,Male,59,Clothing,2,500,1000
113,11/2/2023,CUST657,Male,40,Clothing,1,25,25
114,11/2/2023,CUST732,Male,61,Electronics,2,500,1000
115,11/2/2023,CUST972,Male,49,Beauty,4,25,100
116,12/2/2023,CUST714,Female,18,Clothing,1,500,500
117,13/02/2023,CUST193,Male,35,Beauty,3,500,1500
118,13/02/2023,CUST577,Male,21,Beauty,4,500,2000
119,13/02/2023,CUST848,Female,63,Clothing,3,25,75
120,13/02/2023,CUST945,Male,30,Beauty,1,25,25
121,14/02/2023,CUST011,Male,23,Clothing,2,50,100
122,14/02/2023,CUST821,Male,49,Electronics,1,300,300
123,16/02/2023,CUST133,Male,20,Electronics,3,300,900
124,17/02/2023,CUST016,Male,19,Clothing,3,500,1500
125,17/02/2023,CUST042,Male,22,Clothing,3,300,900
126,17/02/2023,CUST292,Male,20,Beauty,4,300,1200
127,17/02/2023,CUST416,Male,53,Electronics,4,500,2000
128,17/02/2023,CUST584,Female,27,Beauty,4,50,200
129,17/02/2023,CUST861,Female,41,Clothing,3,30,90
130,18/02/2023,CUST256,Male,23,Clothing,2,500,1000
131,19/02/2023,CUST044,Female,22,Clothing,1,25,25
132,19/02/2023,CUST257,Male,19,Beauty,4,500,2000
133,20/02/2023,CUST268,Female,28,Electronics,1,30,30
134,20/02/2023,CUST287,Male,54,Clothing,4,25,100
135,20/02/2023,CUST966,Male,60,Electronics,2,500,1000
136,21/02/2023,CUST070,Female,43,Clothing,1,300,300
137,21/02/2023,CUST371,Female,20,Beauty,1,25,25
138,21/02/2023,CUST900,Male,21,Clothing,2,30,60
139,22/02/2023,CUST008,Male,30,Electronics,4,25,100
140,22/02/2023,CUST041,Male,34,Clothing,2,25,50
141,22/02/2023,CUST454,Female,46,Beauty,1,25,25
142,22/02/2023,CUST780,Male,52,Electronics,2,25,50
143,22/02/2023,CUST920,Female,28,Beauty,3,25,75
144,23/02/2023,CUST396,Female,55,Beauty,1,30,30
145,24/02/2023,CUST168,Male,53,Clothing,1,300,300
146,24/02/2023,CUST400,Male,53,Clothing,4,50,200
147,24/02/2023,CUST611,Male,51,Beauty,3,500,1500
148,24/02/2023,CUST800,Male,32,Clothing,4,300,1200
149,25/02/2023,CUST272,Female,61,Electronics,2,50,100
